model_short,activation_short,dataset_short,training_mode,non_square_kernels,group_label,lmbda,num_runs,num_seed_values,rate_mean,rate_std,rate_min,rate_max,quality_mean,quality_std,quality_min,quality_max
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,1.0,3,3,0.012738065173228582,0.00041916967720692096,0.012218078598380089,0.013244564644992352,0.06013255938887596,0.00416915261137001,0.05424023047089577,0.06326064467430115
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,3.0,3,3,0.03633924014866352,0.005103687755559508,0.02920168824493885,0.04083697125315666,0.0958646113673846,0.005861653653978803,0.08865045011043549,0.1030079871416092
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,5.0,3,3,0.06711691990494728,0.010067969058554392,0.05423366650938988,0.07880853116512299,0.12698819239934286,0.010846897138931541,0.11252976953983308,0.1386556774377823
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,7.0,3,3,0.15087847659985223,0.03592690170500941,0.11719918996095656,0.20066341757774353,0.19464194774627686,0.033171093591715765,0.16475801169872284,0.2408999651670456
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,8.0,6,3,0.21380903075138727,0.01694178611537093,0.19082793593406677,0.23018914461135864,0.23638846476872763,0.015477329868770115,0.2155072391033173,0.25157973170280457
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,10.0,3,3,0.45320944984753925,0.031006242811750503,0.41501232981681824,0.4909578263759613,0.408764511346817,0.017760662432323188,0.3878641724586487,0.4312788248062134
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,15.0,6,3,0.7435996532440186,0.03794052910025602,0.7028674483299255,0.8116778135299683,0.5122918685277303,0.01497799933182806,0.49750274419784546,0.5422487258911133
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,20.0,6,3,1.0452723503112793,0.035936019217472706,0.9999099969863892,1.0877976417541504,0.5877501169840494,0.009698074387031772,0.5770187973976135,0.6005122661590576
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,35.0,6,3,1.8978116114934285,0.008137289526377024,1.8894325494766235,1.909939885139465,0.7067762811978658,0.0026698364965929452,0.7050580382347107,0.7127208113670349
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,50.0,6,3,2.182235320409139,0.014662810444782645,2.1635947227478027,2.199422836303711,0.7234079043070475,0.004050597482627377,0.7182989716529846,0.7282062768936157
SHyp,GDN,MAYA4DirDataModule,slc,False,SHyp-GDN | MAYA4DirDataModule | slc | sq,100.0,3,3,2.677493413289388,0.031233683625722607,2.652550220489502,2.7215354442596436,0.7510835329691569,0.007623267963786408,0.7443132400512695,0.7617346048355103
